gene_mouse,gene_upper
Eef1b2,EEF1B2
Snora41,SNORA41
Gpr1,GPR1
Zdbf2,ZDBF2
Adam23,ADAM23
Dytn,DYTN
Mdh1b,MDH1B
Fastkd2,FASTKD2
Gm13749,GM13749
Klf7,KLF7
Creb1,CREB1
Mettl21a,METTL21A
2810408I11Rik,2810408I11RIK
Ccnyl1,CCNYL1
Fzd5,FZD5
Plekhm3,PLEKHM3
Akr1cl,AKR1CL
Cryge,CRYGE
Crygd,CRYGD
Crygc,CRYGC
Cryga,CRYGA
D630023F18Rik,D630023F18RIK
Idh1,IDH1
Pikfyve,PIKFYVE
Pth2r,PTH2R
Unc80,UNC80
Rpe,RPE
Acadl,ACADL
Myl1,MYL1
Lancl1,LANCL1
Cps1,CPS1
Erbb4,ERBB4
Ikzf2,IKZF2
Spag16,SPAG16
Vwc2l,VWC2L
Bard1,BARD1
Abca12,ABCA12
Atic,ATIC
Fn1,FN1
Apol7d,APOL7D
Gm8883,GM8883
4933417E11Rik,4933417E11RIK
Mreg,MREG
Pecr,PECR
Tmem169,TMEM169
Xrcc5,XRCC5
March4,MARCH4
Smarcal1,SMARCAL1
Ankar,ANKAR
Rpl37a,RPL37A
Igfbp2,IGFBP2
Igfbp5,IGFBP5
Tnp1,TNP1
Pinc,PINC
Tns1,TNS1
Rufy4,RUFY4
Cxcr2,CXCR2
Cxcr1,CXCR1
Arpc2,ARPC2
Gpbar1,GPBAR1
Aamp,AAMP
Pnkd,PNKD
Tmbim1,TMBIM1
Slc11a1,SLC11A1
Ctdsp1,CTDSP1
Vil1,VIL1
Usp37,USP37
Plcd4,PLCD4
Zfp142,ZFP142
Bcs1l,BCS1L
Rnf25,RNF25
Stk36,STK36
Ttll4,TTLL4
Cyp27a1,CYP27A1
Prkag3,PRKAG3
Wnt6,WNT6
Wnt10a,WNT10A
Cdk5r2,CDK5R2
Fev,FEV
Cryba2,CRYBA2
Ihh,IHH
Nhej1,NHEJ1
Slc23a3,SLC23A3
Zfand2b,ZFAND2B
Abcb6,ABCB6
Atg9a,ATG9A
Ankzf1,ANKZF1
Glb1l,GLB1L
Stk16,STK16
Tuba4a,TUBA4A
A630095N17Rik,A630095N17RIK
Dnajb2,DNAJB2
Ptprn,PTPRN
Resp18,RESP18
Dnpep,DNPEP
Des,DES
Gm15179,GM15179
Speg,SPEG
Gmppa,GMPPA
Chpf,CHPF
Tmem198,TMEM198
Obsl1,OBSL1
Inha,INHA
Stk11ip,STK11IP
Slc4a3,SLC4A3
Gm17751,GM17751
Epha4,EPHA4
Pax3,PAX3
Sgpp2,SGPP2
Farsb,FARSB
Mogat1,MOGAT1
Acsl3,ACSL3
Utp14b,UTP14B
Kcne4,KCNE4
Scg2,SCG2
Ap1s3,AP1S3
Wdfy1,WDFY1
Mrpl44,MRPL44
Serpine2,SERPINE2
Fam124b,FAM124B
Cul3,CUL3
Dock10,DOCK10
Irs1,IRS1
Rhbdd1,RHBDD1
Col4a4,COL4A4
Col4a3,COL4A3
Mff,MFF
Tm4sf20,TM4SF20
Agfg1,AGFG1
Slc19a3,SLC19A3
Ccl20,CCL20
Sphkap,SPHKAP
Pid1,PID1
Dner,DNER
Trip12,TRIP12
Fbxo36,FBXO36
Slc16a14,SLC16A14
A530032D15Rik,A530032D15RIK
Gm7609,GM7609
C130026I21Rik,C130026I21RIK
Sp110,SP110
Sp140,SP140
Sp100,SP100
A630001G21Rik,A630001G21RIK
Cab39,CAB39
Itm2c,ITM2C
4933407L21Rik,4933407L21RIK
Gpr55,GPR55
Spata3,SPATA3
2810459M11Rik,2810459M11RIK
Psmd1,PSMD1
Htr2b,HTR2B
Armc9,ARMC9
B3gnt7,B3GNT7
Ncl,NCL
Snora75,SNORA75
C130036L24Rik,C130036L24RIK
Nmur1,NMUR1
Ptma,PTMA
Pde6d,PDE6D
Cops7b,COPS7B
Nppc,NPPC
Dis3l2,DIS3L2
Alppl2,ALPPL2
Alpi,ALPI
Ecel1,ECEL1
Prss56,PRSS56
Chrnd,CHRND
Chrng,CHRNG
Eif4e2,EIF4E2
Efhd1,EFHD1
Gigyf2,GIGYF2
Kcnj13,KCNJ13
Ngef,NGEF
Neu2,NEU2
Inpp5d,INPP5D
Atg16l1,ATG16L1
Sag,SAG
Dgkd,DGKD
Usp40,USP40
Ugt1a10,UGT1A10
Ugt1a9,UGT1A9
Ugt1a7c,UGT1A7C
Ugt1a6b,UGT1A6B
Ugt1a6a,UGT1A6A
Ugt1a5,UGT1A5
Ugt1a2,UGT1A2
Dnajb3,DNAJB3
Ugt1a1,UGT1A1
Hjurp,HJURP
Trpm8,TRPM8
Spp2,SPP2
Glrp1,GLRP1
Gm19589,GM19589
Arl4c,ARL4C
1700067G17Rik,1700067G17RIK
Sh3bp4,SH3BP4
Agap1,AGAP1
4933400F21Rik,4933400F21RIK
Gbx2,GBX2
Asb18,ASB18
Iqca,IQCA
Cops8,COPS8
Col6a3,COL6A3
Mlph,MLPH
Prlh,PRLH
Rab17,RAB17
Lrrfip1,LRRFIP1
Rbm44,RBM44
Ramp1,RAMP1
Ube2f,UBE2F
Scly,SCLY
Espnl,ESPNL
