gene_mouse,gene_upper
Zfp366,ZFP366
Ptcd2,PTCD2
Mrps27,MRPS27
6430562O15Rik,6430562O15RIK
Cartpt,CARTPT
Mccc2,MCCC2
Bdp1,BDP1
Serf1,SERF1
Smn1,SMN1
Naip2,NAIP2
Naip5,NAIP5
Naip6,NAIP6
Naip1,NAIP1
Gtf2h2,GTF2H2
Ocln,OCLN
Marveld2,MARVELD2
Rad17,RAD17
Taf9,TAF9
Ccdc125,CCDC125
Cdk7,CDK7
Mrps36,MRPS36
Cenph,CENPH
Ccnb1,CCNB1
Slc30a5,SLC30A5
Pik3r1,PIK3R1
Cd180,CD180
Mast4,MAST4
Srek1,SREK1
Nln,NLN
Sgtb,SGTB
Trim23,TRIM23
Ppwd1,PPWD1
Cenpk,CENPK
Adamts6,ADAMTS6
Cwc27,CWC27
Srek1ip1,SREK1IP1
Rgs7bp,RGS7BP
4933425L06Rik,4933425L06RIK
Rnf180,RNF180
Htr1a,HTR1A
Ipo11,IPO11
Dimt1,DIMT1
Kif2a,KIF2A
3830408C21Rik,3830408C21RIK
AI197445,AI197445
1700006H21Rik,1700006H21RIK
Zswim6,ZSWIM6
Ndufaf2,NDUFAF2
Ercc8,ERCC8
Elovl7,ELOVL7
Depdc1b,DEPDC1B
Pde4d,PDE4D
Rab3c,RAB3C
Gapt,GAPT
Plk2,PLK2
3110015C05Rik,3110015C05RIK
Actbl2,ACTBL2
Gpbp1,GPBP1
Mier3,MIER3
Map3k1,MAP3K1
Ankrd55,ANKRD55
Il6st,IL6ST
Il31ra,IL31RA
Ddx4,DDX4
Slc38a9,SLC38A9
Skiv2l2,SKIV2L2
Dhx29,DHX29
Ccno,CCNO
Mir449c,MIR449C
Gpx8,GPX8
Gzma,GZMA
Gzmk,GZMK
Esm1,ESM1
4921509O07Rik,4921509O07RIK
Snx18,SNX18
Hspb3,HSPB3
Arl15,ARL15
A430090L17Rik,A430090L17RIK
Ndufs4,NDUFS4
Fst,FST
4930544M13Rik,4930544M13RIK
Mocs2,MOCS2
Itga2,ITGA2
Itga1,ITGA1
Pelo,PELO
Isl1,ISL1
Parp8,PARP8
Gm6416,GM6416
Emb,EMB
Hcn1,HCN1
Mrps30,MRPS30
Fgf10,FGF10
Nnt,NNT
Paip1,PAIP1
4833420G17Rik,4833420G17RIK
3110070M22Rik,3110070M22RIK
Ccl28,CCL28
Hmgcs1,HMGCS1
Zfp131,ZFP131
AF067063,AF067063
B020031M17Rik,B020031M17RIK
AF067061,AF067061
BC147527,BC147527
Tcstv3,TCSTV3
Gm2897,GM2897
D830030K20Rik,D830030K20RIK
1700110I01Rik,1700110I01RIK
Gm10413,GM10413
Gm10408,GM10408
Gm3002,GM3002
Gm5796,GM5796
Gm3264,GM3264
4930555G01Rik,4930555G01RIK
Gm3500,GM3500
Gm3383,GM3383
Gm10406,GM10406
Gm3696,GM3696
Gm5797,GM5797
4933406F09Rik,4933406F09RIK
Flnb,FLNB
Dnase1l3,DNASE1L3
Abhd6,ABHD6
Rpp14,RPP14
Pxk,PXK
Pdhb,PDHB
Kctd6,KCTD6
Acox2,ACOX2
Fam107a,FAM107A
Oit1,OIT1
4930452B06Rik,4930452B06RIK
Fhit,FHIT
3830406C13Rik,3830406C13RIK
Fezf2,FEZF2
Cadps,CADPS
Gm5087,GM5087
Synpr,SYNPR
Sntn,SNTN
Thoc7,THOC7
Atxn7,ATXN7
Psmd6,PSMD6
Il3ra,IL3RA
Slc4a7,SLC4A7
Nek10,NEK10
Lrrc3b,LRRC3B
Oxsm,OXSM
Ngly1,NGLY1
Top2b,TOP2B
Rarb,RARB
Thrb,THRB
Nr1d2,NR1D2
Rpl15,RPL15
Nkiras1,NKIRAS1
Ube2e1,UBE2E1
Ube2e2,UBE2E2
Gm5458,GM5458
Nid2,NID2
Gng2,GNG2
Kcnk5,KCNK5
Kcnk16,KCNK16
Nudt13,NUDT13
Ecd,ECD
Fam149b,FAM149B
Dnajc9,DNAJC9
Mrps16,MRPS16
Anxa7,ANXA7
Ppp3cb,PPP3CB
1810062O18Rik,1810062O18RIK
Usp54,USP54
Myoz1,MYOZ1
Synpo2l,SYNPO2L
Sec24c,SEC24C
Fut11,FUT11
6230400D17Rik,6230400D17RIK
Chchd1,CHCHD1
Ndst2,NDST2
Camk2g,CAMK2G
Plau,PLAU
Vcl,VCL
Ap3m1,AP3M1
Adk,ADK
Dupd1,DUPD1
Dusp13,DUSP13
Samd8,SAMD8
Vdac2,VDAC2
Comtd1,COMTD1
Zfp503,ZFP503
Gm10248,GM10248
Kcnma1,KCNMA1
Dlg5,DLG5
E330034G19Rik,E330034G19RIK
Polr3a,POLR3A
Rps24,RPS24
Zmiz1,ZMIZ1
Ppif,PPIF
Ppifos,PPIFOS
Zcchc24,ZCCHC24
Anxa11,ANXA11
Slmap,SLMAP
Arf4,ARF4
Pde12,PDE12
Asb14,ASB14
Appl1,APPL1
Hesx1,HESX1
Il17rd,IL17RD
Arhgef3,ARHGEF3
Ccdc66,CCDC66
Erc2,ERC2
Wnt5a,WNT5A
Cacna2d3,CACNA2D3
Lrtm1,LRTM1
Actr8,ACTR8
Il17rb,IL17RB
Chdh,CHDH
Cacna1d,CACNA1D
Dcp1a,DCP1A
Tkt,TKT
Prkcd,PRKCD
Rft1,RFT1
Sfmbt1,SFMBT1
Tmem110,TMEM110
Mustn1,MUSTN1
Itih4,ITIH4
Itih3,ITIH3
Itih1,ITIH1
Nek4,NEK4
Spcs1,SPCS1
Glt8d1,GLT8D1
Gnl3,GNL3
Pbrm1,PBRM1
Nt5dc2,NT5DC2
Stab1,STAB1
Nisch,NISCH
Tnnc1,TNNC1
Sema3g,SEMA3G
Phf7,PHF7
Bap1,BAP1
Capn7,CAPN7
Sh3bp5,SH3BP5
Mettl6,METTL6
Eaf1,EAF1
Colq,COLQ
Hacl1,HACL1
Btd,BTD
Ankrd28,ANKRD28
Dph3,DPH3
Oxnad1,OXNAD1
Msmb,MSMB
Ncoa4,NCOA4
Timm23,TIMM23
Parg,PARG
Ogdhl,OGDHL
1700024G13Rik,1700024G13RIK
Chat,CHAT
Slc18a3,SLC18A3
Ercc6,ERCC6
Prrxl1,PRRXL1
3425401B19Rik,3425401B19RIK
Fam170b,FAM170B
Wdfy4,WDFY4
Lrrc18,LRRC18
Arhgap22,ARHGAP22
Mapk8,MAPK8
Ptpn20,PTPN20
Gdf10,GDF10
Gdf2,GDF2
Rbp3,RBP3
Zfp488,ZFP488
Gm5460,GM5460
A630023A22Rik,A630023A22RIK
Anxa8,ANXA8
Gprin2,GPRIN2
Syt15,SYT15
Glud1,GLUD1
Gm3219,GM3219
Fam25c,FAM25C
Sncg,SNCG
Mmrn2,MMRN2
Bmpr1a,BMPR1A
9230112D13Rik,9230112D13RIK
Ldb3,LDB3
Opn4,OPN4
Grid1,GRID1
Rgr,RGR
Lrit1,LRIT1
Lrit2,LRIT2
Cdhr1,CDHR1
2610528A11Rik,2610528A11RIK
Ghitm,GHITM
Nrg3,NRG3
Sh2d4b,SH2D4B
Tspan14,TSPAN14
Dydc2,DYDC2
Dydc1,DYDC1
Mat1a,MAT1A
Sftpa1,SFTPA1
Mbl1,MBL1
Sftpd,SFTPD
1700001F09Rik,1700001F09RIK
Ear1,EAR1
Ear10,EAR10
Ear2,EAR2
4930503E14Rik,4930503E14RIK
Gm8267,GM8267
Ptgdr,PTGDR
4930431P03Rik,4930431P03RIK
Ptger2,PTGER2
Txndc16,TXNDC16
Gpr137c,GPR137C
Ero1l,ERO1L
Psmc6,PSMC6
Styx,STYX
Gnpnat1,GNPNAT1
Fermt2,FERMT2
Ddhd1,DDHD1
Gm15217,GM15217
Bmp4,BMP4
Rubie,RUBIE
4933425B07Rik,4933425B07RIK
Cdkn3,CDKN3
Gmfb,GMFB
Cgrrf1,CGRRF1
Samd4,SAMD4
Gch1,GCH1
Wdhd1,WDHD1
Socs4,SOCS4
Mapk1ip1l,MAPK1IP1L
Lgals3,LGALS3
Dlgap5,DLGAP5
Fbxo34,FBXO34
Atg14,ATG14
Ktn1,KTN1
4930447J18Rik,4930447J18RIK
Peli2,PELI2
Gm6498,GM6498
Otx2,OTX2
Otx2os1,OTX2OS1
4933429O19Rik,4933429O19RIK
Exoc5,EXOC5
Naa30,NAA30
Slc35f4,SLC35F4
Tlr11,TLR11
Ttc5,TTC5
Ccnb1ip1,CCNB1IP1
Rpph1,RPPH1
Parp2,PARP2
Tep1,TEP1
Klhl33,KLHL33
Osgep,OSGEP
Apex1,APEX1
Pnp,PNP
Pnp2,PNP2
Rnase10,RNASE10
Rnase9,RNASE9
Rnase12,RNASE12
Olfr750,OLFR750
Rnase4,RNASE4
Ang,ANG
Eddm3b,EDDM3B
Rnase6,RNASE6
Rnase1,RNASE1
Ang2,ANG2
Gm5622,GM5622
Ang4,ANG4
AY358078,AY358078
Ear6,EAR6
Mettl17,METTL17
Slc39a2,SLC39A2
Ndrg2,NDRG2
Tppp2,TPPP2
Arhgef40,ARHGEF40
Gm16617,GM16617
Zfp219,ZFP219
Hnrnpc,HNRNPC
Rpgrip1,RPGRIP1
Chd8,CHD8
Snord8,SNORD8
Rab2b,RAB2B
Tox4,TOX4
Mettl3,METTL3
Sall2,SALL2
Olfr1507,OLFR1507
Dad1,DAD1
Abhd4,ABHD4
Oxa1l,OXA1L
Slc7a7,SLC7A7
Mrpl52,MRPL52
Mmp14,MMP14
Lrp10,LRP10
Rem2,REM2
Prmt5,PRMT5
Haus4,HAUS4
4931414P19Rik,4931414P19RIK
Psmb5,PSMB5
Psmb11,PSMB11
Cdh24,CDH24
Acin1,ACIN1
4930579G18Rik,4930579G18RIK
1700123O20Rik,1700123O20RIK
Cebpe,CEBPE
Slc7a8,SLC7A8
Homez,HOMEZ
Ppp1r3e,PPP1R3E
Bcl2l2,BCL2L2
Pabpn1,PABPN1
Slc22a17,SLC22A17
Efs,EFS
Il25,IL25
Cmtm5,CMTM5
Myh6,MYH6
Myh7,MYH7
Ngdn,NGDN
Zfhx2,ZFHX2
Thtpa,THTPA
Ap1g2,AP1G2
Jph4,JPH4
Dhrs2,DHRS2
Dhrs4,DHRS4
Cpne6,CPNE6
Nrl,NRL
Pck2,PCK2
Dcaf11,DCAF11
Fitm1,FITM1
Psme1,PSME1
Psme2,PSME2
Rnf31,RNF31
Irf9,IRF9
Rec8,REC8
Ipo4,IPO4
Tm9sf1,TM9SF1
Tssk4,TSSK4
Mdp1,MDP1
Nedd8,NEDD8
Gmpr2,GMPR2
Tinf2,TINF2
Tgm1,TGM1
Rabggta,RABGGTA
Dhrs1,DHRS1
Cideb,CIDEB
Ltb4r2,LTB4R2
Ltb4r1,LTB4R1
Adcy4,ADCY4
Ripk3,RIPK3
Nfatc4,NFATC4
Nynrin,NYNRIN
Cbln3,CBLN3
Khnyn,KHNYN
Sdr39u1,SDR39U1
Cma1,CMA1
Mcpt-ps1,MCPT-PS1
Cma2,CMA2
Gm5801,GM5801
Mcpt1,MCPT1
Mcpt2,MCPT2
Mcpt4,MCPT4
Mcpt8,MCPT8
Ctsg,CTSG
Gzmd,GZMD
Gzmg,GZMG
Gzmn,GZMN
Gzmf,GZMF
Gzmc,GZMC
Gzmb,GZMB
Atp12a,ATP12A
Rnf17,RNF17
Cenpj,CENPJ
Parp4,PARP4
Mphosph8,MPHOSPH8
Gm16973,GM16973
Pspc1,PSPC1
Zmym5,ZMYM5
Zmym2,ZMYM2
B020004C17Rik,B020004C17RIK
Gja3,GJA3
Gjb2,GJB2
Gjb6,GJB6
Cryl1,CRYL1
Ift88,IFT88
Il17d,IL17D
Xpo4,XPO4
Lats2,LATS2
Sap18,SAP18
Mir3077,MIR3077
Zdhhc20,ZDHHC20
Fgf9,FGF9
Gm5142,GM5142
Rcbtb1,RCBTB1
Gm6904,GM6904
Setdb2,SETDB2
Cab39l,CAB39L
Cdadc1,CDADC1
Shisa2,SHISA2
Atp8a2,ATP8A2
Nupl1,NUPL1
Mir719,MIR719
Mtmr6,MTMR6
Spata13,SPATA13
C1qtnf9,C1QTNF9
Mipep,MIPEP
Tnfrsf19,TNFRSF19
Sacs,SACS
Sgcg,SGCG
1700109G14Rik,1700109G14RIK
Arl11,ARL11
Ebpl,EBPL
Kpna3,KPNA3
4930556J02Rik,4930556J02RIK
Trim13,TRIM13
Dleu2,DLEU2
Kcnrg,KCNRG
Mir16-1,MIR16-1
Mir15a,MIR15A
Dleu7,DLEU7
Rnaseh2b,RNASEH2B
Gucy1b2,GUCY1B2
Fam124a,FAM124A
Serpine3,SERPINE3
Ints6,INTS6
Wdfy2,WDFY2
Defb47,DEFB47
Defb43,DEFB43
Defb30,DEFB30
Defb42,DEFB42
Ctsb,CTSB
Fdft1,FDFT1
Neil2,NEIL2
Gata4,GATA4
Blk,BLK
Fam167a,FAM167A
Tdh,TDH
Mtmr9,MTMR9
Xkr6,XKR6
Pinx1,PINX1
Sox7,SOX7
4930578I06Rik,4930578I06RIK
Rp1l1,RP1L1
Prss55,PRSS55
4930471C04Rik,4930471C04RIK
Prss52,PRSS52
Msra,MSRA
Kif13b,KIF13B
Hmbox1,HMBOX1
Ints9,INTS9
Extl3,EXTL3
Fzd3,FZD3
Fbxo16,FBXO16
Zfp395,ZFP395
Pnoc,PNOC
Elp3,ELP3
Scara5,SCARA5
Pbk,PBK
Esco2,ESCO2
Ccdc25,CCDC25
Scara3,SCARA3
Clu,CLU
Gulo,GULO
Adam2,ADAM2
Ephx2,EPHX2
Chrna2,CHRNA2
Ptk2b,PTK2B
1700001G11Rik,1700001G11RIK
Trim35,TRIM35
Stmn4,STMN4
Adra1a,ADRA1A
Dpysl2,DPYSL2
Gm5464,GM5464
Pnma2,PNMA2
Bnip3l,BNIP3L
Ppp2r2a,PPP2R2A
Ebf2,EBF2
Gm6878,GM6878
Cdca2,CDCA2
Kctd9,KCTD9
Gnrh1,GNRH1
Dock5,DOCK5
Nefl,NEFL
Nefm,NEFM
Adam7,ADAM7
Adamdec1,ADAMDEC1
Adam28,ADAM28
Stc1,STC1
1700092C10Rik,1700092C10RIK
Nkx2-6,NKX2-6
Nkx3-1,NKX3-1
Slc25a37,SLC25A37
Synb,SYNB
Gm16677,GM16677
Entpd4,ENTPD4
Loxl2,LOXL2
R3hcc1,R3HCC1
Chmp7,CHMP7
Tnfrsf10b,TNFRSF10B
Rhobtb2,RHOBTB2
Pebp4,PEBP4
Egr3,EGR3
Bin3,BIN3
9930012K11Rik,9930012K11RIK
Pdlim2,PDLIM2
Sorbs3,SORBS3
Ppp3cc,PPP3CC
Slc39a14,SLC39A14
Piwil2,PIWIL2
Polr3d,POLR3D
Mir320,MIR320
Phyhip,PHYHIP
Bmp1,BMP1
Sftpc,SFTPC
Lgi3,LGI3
Reep4,REEP4
Hr,HR
Nudt18,NUDT18
Fam160b2,FAM160B2
Fgf17,FGF17
Npm2,NPM2
Xpo7,XPO7
Dok2,DOK2
2410012E07Rik,2410012E07RIK
Gfra2,GFRA2
Fndc3a,FNDC3A
Cysltr2,CYSLTR2
Rcbtb2,RCBTB2
Rb1,RB1
Lpar6,LPAR6
Itm2b,ITM2B
Med4,MED4
Nudt15,NUDT15
Sucla2,SUCLA2
4933402J15Rik,4933402J15RIK
Htr2a,HTR2A
Esd,ESD
Lrch1,LRCH1
Gm4278,GM4278
Lrrc63,LRRC63
Lcp1,LCP1
Cpb2,CPB2
Zc3h13,ZC3H13
Siah3,SIAH3
Cog3,COG3
Slc25a30,SLC25A30
Gm4285,GM4285
Tpt1,TPT1
Snora31,SNORA31
Gtf2f2,GTF2F2
Kctd4,KCTD4
Nufip1,NUFIP1
Tsc22d1,TSC22D1
Serp2,SERP2
1700108F19Rik,1700108F19RIK
Ccdc122,CCDC122
Enox1,ENOX1
Gm6994,GM6994
Gm1587,GM1587
Dnajc15,DNAJC15
Epsti1,EPSTI1
Tnfsf11,TNFSF11
Akap11,AKAP11
Dgkh,DGKH
Zfp957,ZFP957
Naa16,NAA16
Mtrf1,MTRF1
Kbtbd7,KBTBD7
Wbp4,WBP4
Elf1,ELF1
Sugt1,SUGT1
4930452G13Rik,4930452G13RIK
Pcdh8,PCDH8
Gm10845,GM10845
Olfm4,OLFM4
Pcdh17,PCDH17
9630013A20Rik,9630013A20RIK
Tdrd3,TDRD3
Pcdh20,PCDH20
Pcdh9,PCDH9
Klhl1,KLHL1
Dach1,DACH1
Mzt1,MZT1
Dis3,DIS3
Pibf1,PIBF1
Klf5,KLF5
Klf12,KLF12
Tbc1d4,TBC1D4
Commd6,COMMD6
Uchl3,UCHL3
Lmo7,LMO7
Kctd12,KCTD12
4933432I03Rik,4933432I03RIK
Cln5,CLN5
Fbxl3,FBXL3
Mycbp2,MYCBP2
Scel,SCEL
Slain1,SLAIN1
Ednrb,EDNRB
4930432J09Rik,4930432J09RIK
Pou4f1,POU4F1
Rnf219,RNF219
Gm17066,GM17066
Rbm26,RBM26
Ndfip2,NDFIP2
5430440P10Rik,5430440P10RIK
4930449E01Rik,4930449E01RIK
Spry2,SPRY2
Trim52,TRIM52
1700128A07Rik,1700128A07RIK
Slitrk1,SLITRK1
Slitrk6,SLITRK6
Slitrk5,SLITRK5
Mir18,MIR18
Mir20a,MIR20A
Mir17hg,MIR17HG
Gpc5,GPC5
Gpc6,GPC6
Dct,DCT
Tgds,TGDS
Gpr180,GPR180
Sox21,SOX21
Gm9376,GM9376
Abcc4,ABCC4
Cldn10,CLDN10
Dzip1,DZIP1
Dnajc3,DNAJC3
Uggt2,UGGT2
Hs6st3,HS6ST3
1700006F04Rik,1700006F04RIK
Oxgr1,OXGR1
Mbnl2,MBNL2
Rap2a,RAP2A
Ipo5,IPO5
Farp1,FARP1
Stk24,STK24
Slc15a1,SLC15A1
Dock9,DOCK9
Ubac2,UBAC2
Gpr18,GPR18
Gpr183,GPR183
Timm8a2,TIMM8A2
A330035P11Rik,A330035P11RIK
Tm9sf2,TM9SF2
Clybl,CLYBL
Zic5,ZIC5
2610035F20Rik,2610035F20RIK
Zic2,ZIC2
Pcca,PCCA
Tmtc4,TMTC4
Nalcn,NALCN
Itgbl1,ITGBL1
Fgf14,FGF14
1700024B18Rik,1700024B18RIK
Ccdc152,CCDC152
Ghr,GHR
Fbxo4,FBXO4
AW549877,AW549877
BC037032,BC037032
Oxct1,OXCT1
Plcxd3,PLCXD3
C6,C6
C7,C7
Card6,CARD6
Rpl37,RPL37
Prkaa1,PRKAA1
Ttc33,TTC33
Ptger4,PTGER4
5430437J10Rik,5430437J10RIK
Dab2,DAB2
C9,C9
Fyb,FYB
Rictor,RICTOR
Osmr,OSMR
Lifr,LIFR
Egflam,EGFLAM
Gdnf,GDNF
Wdr70,WDR70
Nup155,NUP155
Nipbl,NIPBL
Slc1a3,SLC1A3
Ranbp3l,RANBP3L
Skp2,SKP2
Lmbrd2,LMBRD2
Ugt3a1,UGT3A1
Ugt3a2,UGT3A2
Capsl,CAPSL
Il7r,IL7R
Spef2,SPEF2
Prlr,PRLR
Agxt2,AGXT2
Dnajc21,DNAJC21
Brix1,BRIX1
Rad1,RAD1
Ttc23l,TTC23L
Rai14,RAI14
Gm10389,GM10389
4930556M19Rik,4930556M19RIK
Gm19276,GM19276
C1qtnf3,C1QTNF3
Amacr,AMACR
Slc45a2,SLC45A2
Rxfp3,RXFP3
Adamts12,ADAMTS12
Tars,TARS
Npr3,NPR3
1700047G03Rik,1700047G03RIK
Sub1,SUB1
Zfr,ZFR
Mtmr12,MTMR12
Golph3,GOLPH3
Pdzd2,PDZD2
6030458C11Rik,6030458C11RIK
Drosha,DROSHA
Cdh6,CDH6
Cdh9,CDH9
4921515E04Rik,4921515E04RIK
Cdh10,CDH10
Acot10,ACOT10
Cdh12,CDH12
Cdh18,CDH18
Basp1,BASP1
Gm5468,GM5468
Myo10,MYO10
Zfp622,ZFP622
March11,MARCH11
Fbxl7,FBXL7
Ank,ANK
Trio,TRIO
Ctnnd2,CTNND2
4930430F21Rik,4930430F21RIK
Dap,DAP
Ankrd33b,ANKRD33B
Ropn1l,ROPN1L
March6,MARCH6
Cmbl,CMBL
Cct5,CCT5
Fam173b,FAM173B
Snord123,SNORD123
Sema5a,SEMA5A
Sdc2,SDC2
1700084J12Rik,1700084J12RIK
4930592A05Rik,4930592A05RIK
Tspyl5,TSPYL5
Mtdh,MTDH
Laptm4b,LAPTM4B
Matn2,MATN2
9430069I07Rik,9430069I07RIK
Gm12191,GM12191
Rpl30,RPL30
Pop1,POP1
Nipal2,NIPAL2
4930413F20Rik,4930413F20RIK
Kcns2,KCNS2
Stk3,STK3
Osr2,OSR2
BC048602,BC048602
Vps13b,VPS13B
Cox6c,COX6C
Rgs22,RGS22
Fbxo43,FBXO43
Polr2k,POLR2K
Spag1,SPAG1
Rnf19a,RNF19A
Ankrd46,ANKRD46
Snx31,SNX31
Pabpc1,PABPC1
Ywhaz,YWHAZ
Zfp706,ZFP706
Grhl2,GRHL2
Ncald,NCALD
Gm15941,GM15941
Rrm2b,RRM2B
Ubr5,UBR5
Odf1,ODF1
Klf10,KLF10
Azin1,AZIN1
2310043O21Rik,2310043O21RIK
Atp6v1c1,ATP6V1C1
Baalc,BAALC
Fzd6,FZD6
Cthrc1,CTHRC1
Slc25a32,SLC25A32
Dcaf13,DCAF13
Rims2,RIMS2
Dcstamp,DCSTAMP
Dpys,DPYS
Lrp12,LRP12
AU022793,AU022793
9330182O14Rik,9330182O14RIK
Zfpm2,ZFPM2
Oxr1,OXR1
Abra,ABRA
Angpt1,ANGPT1
Rspo2,RSPO2
Eif3e,EIF3E
Gm10373,GM10373
Tmem74,TMEM74
Trhr,TRHR
Nudcd1,NUDCD1
Eny2,ENY2
Pkhd1l1,PKHD1L1
Ebag9,EBAG9
Sybu,SYBU
Kcnv1,KCNV1
4930548G14Rik,4930548G14RIK
Csmd3,CSMD3
Trps1,TRPS1
Mir1907,MIR1907
Gm19303,GM19303
Eif3h,EIF3H
Utp23,UTP23
Rad21,RAD21
Aard,AARD
Slc30a8,SLC30A8
Med30,MED30
Ext1,EXT1
Samd12,SAMD12
Tnfrsf11b,TNFRSF11B
Colec10,COLEC10
Mal2,MAL2
Nov,NOV
Enpp2,ENPP2
Taf2,TAF2
Dscc1,DSCC1
Gm9920,GM9920
Deptor,DEPTOR
Col14a1,COL14A1
Mrpl13,MRPL13
Mtbp,MTBP
Sntb1,SNTB1
Has2,HAS2
Slc22a22,SLC22A22
Zhx2,ZHX2
Derl1,DERL1
Fam83a,FAM83A
9130401M01Rik,9130401M01RIK
Zhx1,ZHX1
Atad2,ATAD2
Wdyhv1,WDYHV1
Fbxo32,FBXO32
Klhl38,KLHL38
Anxa13,ANXA13
Tmem65,TMEM65
Trmt12,TRMT12
Rnf139,RNF139
Tatdn1,TATDN1
Ndufb9,NDUFB9
Mtss1,MTSS1
Zfp572,ZFP572
Sqle,SQLE
Nsmce2,NSMCE2
Trib1,TRIB1
Gm19510,GM19510
Fam84b,FAM84B
9930014A18Rik,9930014A18RIK
A1bg,A1BG
Myc,MYC
Pvt1,PVT1
H2afy3,H2AFY3
Gsdmc,GSDMC
Gsdmc2,GSDMC2
Gsdmc3,GSDMC3
Gsdmc4,GSDMC4
Gsdmcl-ps,GSDMCL-PS
Fam49b,FAM49B
Asap1,ASAP1
Adcy8,ADCY8
Efr3a,EFR3A
Kcnq3,KCNQ3
Lrrc6,LRRC6
Tmem71,TMEM71
Phf20l1,PHF20L1
Tg,TG
Sla,SLA
Wisp1,WISP1
Ndrg1,NDRG1
St3gal1,ST3GAL1
1700012I11Rik,1700012I11RIK
Zfat,ZFAT
Khdrbs3,KHDRBS3
Fam135b,FAM135B
Col22a1,COL22A1
Trappc9,TRAPPC9
Peg13,PEG13
Chrac1,CHRAC1
Ptk2,PTK2
Dennd3,DENND3
Slc45a4,SLC45A4
Gpr20,GPR20
Ptp4a3,PTP4A3
Arc,ARC
Jrk,JRK
4933427E11Rik,4933427E11RIK
Psca,PSCA
Slurp1,SLURP1
Lypd2,LYPD2
Lynx1,LYNX1
Ly6d,LY6D
D730001G18Rik,D730001G18RIK
Ly6k,LY6K
Gml,GML
Cyp11b1,CYP11B1
2010109I03Rik,2010109I03RIK
Ly6e,LY6E
Ly6i,LY6I
Ly6a,LY6A
Ly6c1,LY6C1
Ly6c2,LY6C2
Ly6f,LY6F
9030619P08Rik,9030619P08RIK
Ly6h,LY6H
Gpihbp1,GPIHBP1
Zfp41,ZFP41
Top1mt,TOP1MT
Rhpn1,RHPN1
Mafa,MAFA
Zc3h3,ZC3H3
Gsdmd,GSDMD
Eef1d,EEF1D
Tigd5,TIGD5
Pycrl,PYCRL
Tsta3,TSTA3
Zfp623,ZFP623
Zfp707,ZFP707
Mapk15,MAPK15
Fam83h,FAM83H
Scrib,SCRIB
Puf60,PUF60
Nrbp2,NRBP2
BC024139,BC024139
Plec,PLEC
Parp10,PARP10
Grina,GRINA
Gm10872,GM10872
Spatc1,SPATC1
Oplah,OPLAH
Exosc4,EXOSC4
Gpaa1,GPAA1
Cyc1,CYC1
Sharpin,SHARPIN
Maf1,MAF1
Tssk5,TSSK5
Bop1,BOP1
Scx,SCX
Hsf1,HSF1
Dgat1,DGAT1
Scrt1,SCRT1
Fbxl6,FBXL6
Slc52a2,SLC52A2
Adck5,ADCK5
Cpsf1,CPSF1
Slc39a4,SLC39A4
Vps28,VPS28
Tonsl,TONSL
Cyhr1,CYHR1
Kifc2,KIFC2
Foxh1,FOXH1
Ppp1r16a,PPP1R16A
Gpt,GPT
Mfsd3,MFSD3
Recql4,RECQL4
Lrrc14,LRRC14
Lrrc24,LRRC24
C030006K11Rik,C030006K11RIK
Arhgap39,ARHGAP39
Zfp251,ZFP251
Zfp7,ZFP7
Commd5,COMMD5
Rpl8,RPL8
Zfp647,ZFP647
1110038F14Rik,1110038F14RIK
Mb,MB
Apol6,APOL6
Rbfox2,RBFOX2
Apol7a,APOL7A
Apol9a,APOL9A
Apol7b,APOL7B
Apol10a,APOL10A
Apol11a,APOL11A
Apol7c,APOL7C
1700025B11Rik,1700025B11RIK
Apol10b,APOL10B
Gm8221,GM8221
Apol11b,APOL11B
Apol7e,APOL7E
Apol9b,APOL9B
Apol8,APOL8
Myh9,MYH9
Txn2,TXN2
Foxred2,FOXRED2
Eif3d,EIF3D
Cacng2,CACNG2
Ift27,IFT27
Pvalb,PVALB
Ncf4,NCF4
Csf2rb2,CSF2RB2
Csf2rb,CSF2RB
Tst,TST
Mpst,MPST
Kctd17,KCTD17
Tmprss6,TMPRSS6
Il2rb,IL2RB
C1qtnf6,C1QTNF6
Sstr3,SSTR3
Rac2,RAC2
Cyth4,CYTH4
Elfn2,ELFN2
Mfng,MFNG
Card10,CARD10
Cdc42ep1,CDC42EP1
Lgals2,LGALS2
Gga1,GGA1
Sh3bp1,SH3BP1
Pdxp,PDXP
Lgals1,LGALS1
Nol12,NOL12
Triobp,TRIOBP
H1f0,H1F0
Gcat,GCAT
Galr3,GALR3
Ankrd54,ANKRD54
Eif3l,EIF3L
Micall1,MICALL1
1700088E04Rik,1700088E04RIK
Polr2f,POLR2F
Sox10,SOX10
Gm10863,GM10863
Pick1,PICK1
Slc16a8,SLC16A8
Baiap2l2,BAIAP2L2
Pla2g6,PLA2G6
Maff,MAFF
Tmem184b,TMEM184B
Csnk1e,CSNK1E
Kcnj4,KCNJ4
Kdelr3,KDELR3
Ddx17,DDX17
Dmc1,DMC1
Cby1,CBY1
Tomm22,TOMM22
Josd1,JOSD1
Gtpbp1,GTPBP1
Sun2,SUN2
Gm16576,GM16576
Nptxr,NPTXR
Cbx6,CBX6
Apobec3,APOBEC3
Cbx7,CBX7
Pdgfb,PDGFB
Rpl3,RPL3
Syngr1,SYNGR1
Tab1,TAB1
Mgat3,MGAT3
Atf4,ATF4
