group,gene,n_age_points,min_cells_per_age,slope_expr_vs_age,gene_class
GABA/inhibitory-like neuronal labels,Eif2ak3,3,62,0.002476150256732939,Other proteostasis/stress
GABA/inhibitory-like neuronal labels,Hsf1,3,62,-0.009160289244541719,HSP/chaperone
GABA/inhibitory-like neuronal labels,Hsp90aa1,3,62,-0.013744834383838752,HSP/chaperone
GABA/inhibitory-like neuronal labels,Hsp90ab1,3,62,-0.00824564941392926,HSP/chaperone
GABA/inhibitory-like neuronal labels,Hspa1a,3,62,0.001286060279922331,HSP/chaperone
GABA/inhibitory-like neuronal labels,Hspa5,3,62,-0.017221871261726557,HSP/chaperone
GABA/inhibitory-like neuronal labels,Hspd1,3,62,-0.018403021461776088,HSP/chaperone
GABA/inhibitory-like neuronal labels,Hsph1,3,62,-0.06821375900523653,HSP/chaperone
GABA/inhibitory-like neuronal labels,Psmb5,3,62,-0.01613157108434713,Other proteostasis/stress
GABA/inhibitory-like neuronal labels,Xbp1,3,62,-0.021568228738697164,Other proteostasis/stress
Interneuron label,Atf4,3,59,0.002542634749826688,Other proteostasis/stress
Interneuron label,Atf6,3,59,0.004714431532176135,Other proteostasis/stress
Interneuron label,Bag3,3,59,0.005761480621162164,Other proteostasis/stress
Interneuron label,Ddit3,3,59,-0.0046346680912262685,Other proteostasis/stress
Interneuron label,Dnajb1,3,59,0.004781684814274999,Other proteostasis/stress
Interneuron label,Dnajb6,3,59,0.013516923366349791,Other proteostasis/stress
Interneuron label,Eif2ak3,3,59,0.005164397134512017,Other proteostasis/stress
Interneuron label,Hsf1,3,59,0.0013698325490254688,HSP/chaperone
Interneuron label,Hsp90aa1,3,59,0.02350528361198702,HSP/chaperone
Interneuron label,Hsp90ab1,3,59,0.04437221854878015,HSP/chaperone
Interneuron label,Hspa1a,3,59,-1.932927330232857e-4,HSP/chaperone
Interneuron label,Hspa5,3,59,0.005007408771953937,HSP/chaperone
Interneuron label,Hspd1,3,59,0.0122445933312973,HSP/chaperone
Interneuron label,Hsph1,3,59,-0.012230779876667855,HSP/chaperone
Interneuron label,Psmb5,3,59,0.02154647054921597,Other proteostasis/stress
Interneuron label,Xbp1,3,59,-1.8538857020147751e-4,Other proteostasis/stress
