gene,condition,phase_num,mean_expr,sd_expr,n,sem,row_group,ymin,ymax,x_num_plot
HSF1,Control,-12,13.521630961818182,0.2061521680808941,22,0.04395178991310883,top,13.521630961818182,13.565582751731291,2
HSF1,Control,-9,13.629860039545456,0.21184763837084053,22,0.0451660682589075,top,13.629860039545456,13.675026107804364,3
HSF1,Control,-6,13.597405766,0.17060931456334033,20,0.03814940249582738,top,13.597405766,13.635555168495827,4
HSF1,Control,-3,13.5715791888,0.20260241610688973,25,0.04052048322137795,top,13.5715791888,13.612099672021378,5
HSF1,Control,0,13.604761618695653,0.20506627803243457,23,0.04275927480679828,top,13.604761618695653,13.64752089350245,6
HSF1,Control,3,13.541532280454545,0.2050704563911681,22,0.04372116820596901,top,13.541532280454545,13.585253448660515,7
HSF1,Control,6,13.46156783590909,0.2703187074285612,22,0.05763214206809191,top,13.46156783590909,13.519199977977182,8
HSF1,Control,9,13.44203651875,0.2674978761488884,24,0.05460277532024893,top,13.44203651875,13.496639294070249,9
HSF1,Control,12,13.51419383318182,0.23237036499260766,22,0.04954152827623861,top,13.51419383318182,13.563735361458058,10
HSF1,Control,15,13.495602317368421,0.3013262878986968,19,0.0691289914727717,top,13.495602317368421,13.564731308841193,11
HSF1,SR,-15,13.521199842,0.20883456310363369,15,0.05392085233419167,top,13.467278989665807,13.521199842,1
HSF1,SR,-12,13.591475257727273,0.2070903084048154,22,0.04415180210221094,top,13.547323455625062,13.591475257727273,2
HSF1,SR,-9,13.482313017272727,0.25605208845503613,22,0.05459048868296383,top,13.427722528589763,13.482313017272727,3
HSF1,SR,-6,13.571222266521739,0.231860698400111,23,0.04834629766976328,top,13.522875968851976,13.571222266521739,4
HSF1,SR,-3,13.564483836666668,0.23008389645026944,21,0.05020842246065434,top,13.514275414206013,13.564483836666668,5
HSF1,SR,0,13.540938531904763,0.23535576336445838,21,0.05135883813627358,top,13.489579693768489,13.540938531904763,6
HSF1,SR,3,13.477897730434783,0.26464951342035403,23,0.05518323822133507,top,13.422714492213448,13.477897730434783,7
HSF1,SR,6,13.422076732727273,0.2696382200032866,22,0.05748706166155238,top,13.36458967106572,13.422076732727273,8
HSF1,SR,9,13.414818173809524,0.2625223378159365,21,0.05728707069801414,top,13.35753110311151,13.414818173809524,9
HSF1,SR,12,13.444884403157895,0.27803892955910137,19,0.06378650506938666,top,13.381097898088509,13.444884403157895,10
HSF1,SR,15,13.36020095625,0.22821064621929443,8,0.08068464774031361,top,13.279516308509686,13.36020095625,11
HSP90AA1,Control,-12,11.106812621886364,0.49228023435812346,22,0.1049544986128597,top,11.106812621886364,11.211767120499225,2
HSP90AA1,Control,-9,11.197733480045455,0.3989740275387451,22,0.0850615484785435,top,11.197733480045455,11.282795028524,3
HSP90AA1,Control,-6,11.40375117815,0.47644650764595803,20,0.10653667787387354,top,11.40375117815,11.510287856023872,4
HSP90AA1,Control,-3,11.39688007526,0.40782102745571525,25,0.08156420549114304,top,11.39688007526,11.478444280751143,5
HSP90AA1,Control,0,11.158757702565218,0.454332600992355,23,0.09473489608294766,top,11.158757702565218,11.253492598648165,6
HSP90AA1,Control,3,11.197248958931818,0.49353756437910795,22,0.10522256227402901,top,11.197248958931818,11.302471521205847,7
HSP90AA1,Control,6,11.034858329943182,0.4592115442905831,22,0.09790423020151844,top,11.034858329943182,11.1327625601447,8
HSP90AA1,Control,9,11.1082032869375,0.4042434763717979,24,0.08251585407997776,top,11.1082032869375,11.190719141017476,9
HSP90AA1,Control,12,10.930623091806819,0.3782853177356343,22,0.08065070072804693,top,10.930623091806819,11.011273792534865,10
HSP90AA1,Control,15,10.860581342381579,0.5097521182349216,19,0.1169451562969379,top,10.860581342381579,10.977526498678516,11
HSP90AA1,SR,-15,10.967231482266667,0.3679971350595865,15,0.09501645170252133,top,10.872215030564146,10.967231482266667,1
HSP90AA1,SR,-12,11.230485565318181,0.3486253389172052,22,0.07432717199686562,top,11.156158393321316,11.230485565318181,2
HSP90AA1,SR,-9,11.34368154909091,0.4580179446502371,22,0.09764975390315488,top,11.246031795187754,11.34368154909091,3
HSP90AA1,SR,-6,11.067744400076087,0.3180891499929652,23,0.06632617272869612,top,11.001418227347392,11.067744400076087,4
HSP90AA1,SR,-3,11.121005586738095,0.4205371044999047,21,0.09176871970992227,top,11.029236867028173,11.121005586738095,5
HSP90AA1,SR,0,11.269117144178571,0.5853704609719271,21,0.12773830699976427,top,11.141378837178806,11.269117144178571,6
HSP90AA1,SR,3,11.005420444945653,0.3874262364877514,23,0.08078395469158116,top,10.924636490254072,11.005420444945653,7
HSP90AA1,SR,6,11.035865789022727,0.5057804719552216,22,0.10783275893953197,top,10.928033030083196,11.035865789022727,8
HSP90AA1,SR,9,10.942321118071428,0.37065905732390036,21,0.0808844374860833,top,10.861436680585344,10.942321118071428,9
HSP90AA1,SR,12,10.926683057394737,0.4027231020976026,19,0.09239101601435067,top,10.834292041380387,10.926683057394737,10
HSP90AA1,SR,15,10.79259982296875,0.3504645114885577,8,0.1239079163193949,top,10.668691906649356,10.79259982296875,11
HSPH1,Control,-12,11.021989734863636,0.5742590240585702,22,0.12243243530296088,top,11.021989734863636,11.144422170166598,2
HSPH1,Control,-9,11.270409221818182,0.24850256953792899,22,0.05298092584169636,top,11.270409221818182,11.323390147659879,3
HSPH1,Control,-6,11.400266331,0.20617064916344033,20,0.04610115864947127,top,11.400266331,11.44636748964947,4
HSPH1,Control,-3,11.2991814968,0.267368293749517,25,0.0534736587499034,top,11.2991814968,11.352655155549902,5
HSPH1,Control,0,11.12611662826087,0.308992761296116,23,0.06442944456953721,top,11.12611662826087,11.190546072830408,6
HSPH1,Control,3,11.017807111181819,0.4115142826818194,22,0.08773513985832906,top,11.017807111181819,11.105542251040148,7
HSPH1,Control,6,11.06508814909091,0.23503115080163042,22,0.05010880971679111,top,11.06508814909091,11.1151969588077,8
HSPH1,Control,9,11.08133307875,0.32560874282092683,24,0.06646460630836551,top,11.08133307875,11.147797685058364,9
HSPH1,Control,12,11.020887436818182,0.2731631689579138,22,0.05823858330379587,top,11.020887436818182,11.079126020121977,10
HSPH1,Control,15,10.965171305368422,0.5022005719901966,19,0.11521271277334684,top,10.965171305368422,11.08038401814177,11
HSPH1,SR,-15,11.152787164,0.3348309879629585,15,0.08645298934498095,top,11.066334174655019,11.152787164,1
HSPH1,SR,-12,11.181914082727273,0.28069713082488307,22,0.059844829370829564,top,11.122069253356443,11.181914082727273,2
HSPH1,SR,-9,11.160322788636364,0.41098026578780833,22,0.08762128707397991,top,11.072701501562385,11.160322788636364,3
HSPH1,SR,-6,11.226485200869565,0.28856533585595034,23,0.06017003192318648,top,11.166315168946378,11.226485200869565,4
HSPH1,SR,-3,11.071737791428571,0.28525329271275623,21,0.06224737171864765,top,11.009490419709923,11.071737791428571,5
HSPH1,SR,0,10.979586798190477,0.5335278300880594,21,0.11642531746400334,top,10.863161480726474,10.979586798190477,6
HSPH1,SR,3,10.880162023652174,0.4370609750359796,23,0.09113351311684108,top,10.789028510535333,10.880162023652174,7
HSPH1,SR,6,11.011452746363636,0.37976105533498006,22,0.08096532904138036,top,10.930487417322256,11.011452746363636,8
HSPH1,SR,9,10.924360158095238,0.4122405060042823,21,0.08995825349007244,top,10.834401904605166,10.924360158095238,9
HSPH1,SR,12,10.93813688,0.3530780262935806,19,0.08100165451571129,top,10.857135225484289,10.93813688,10
HSPH1,SR,15,10.82861346125,0.2842500338750353,8,0.10049756325277164,top,10.72811589799723,10.82861346125,11
HSPA5,Control,-12,9.360294082454546,0.20457838252857916,22,0.043616257705965174,top,9.360294082454546,9.403910340160511,2
HSPA5,Control,-9,9.382959883181819,0.28401907629939105,22,0.060553070525688944,top,9.382959883181819,9.443512953707508,3
HSPA5,Control,-6,9.34680868275,0.22401337206264266,20,0.05009091278010212,top,9.34680868275,9.396899595530101,4
HSPA5,Control,-3,9.3988625511,0.19009108133492794,25,0.03801821626698559,top,9.3988625511,9.436880767366986,5
HSPA5,Control,0,9.371231083130434,0.23303147535617746,23,0.048590421540749,top,9.371231083130434,9.419821504671184,6
HSPA5,Control,3,9.328833473431818,0.3225090880844268,22,0.06875916861079445,top,9.328833473431818,9.397592642042612,7
HSPA5,Control,6,9.264980222386363,0.319383177057945,22,0.06809272214068464,top,9.264980222386363,9.333072944527048,8
HSPA5,Control,9,9.236424088583334,0.3237533503421794,24,0.06608587590457143,top,9.236424088583334,9.302509964487905,9
HSPA5,Control,12,9.259724005113636,0.24018847312835231,22,0.051208354531324995,top,9.259724005113636,9.31093235964496,10
HSPA5,Control,15,9.114055431921052,0.2662557224128102,19,0.06108325195457143,top,9.114055431921052,9.175138683875623,11
HSPA5,SR,-15,9.3289706327,0.2312977328185531,15,0.05972081781478592,top,9.269249814885216,9.3289706327,1
HSPA5,SR,-12,9.336570223522727,0.24009163455971966,22,0.051187708479121664,top,9.285382515043606,9.336570223522727,2
HSPA5,SR,-9,9.26453764590909,0.23935920209472666,22,0.051031553352903054,top,9.213506092556187,9.26453764590909,3
HSPA5,SR,-6,9.28391104721739,0.2442052383292218,23,0.05092031217988598,top,9.232990735037506,9.28391104721739,4
HSPA5,SR,-3,9.229668666642857,0.23632258912810358,21,0.05156981681464204,top,9.178098849828215,9.229668666642857,5
HSPA5,SR,0,9.21300375295238,0.3475008575783914,21,0.07583090399595463,top,9.137172848956425,9.21300375295238,6
HSPA5,SR,3,9.241650851282609,0.23143100384144485,23,0.048256700160639494,top,9.19339415112197,9.241650851282609,7
HSPA5,SR,6,9.196937342568182,0.2830328340558579,22,0.06034280297286751,top,9.136594539595315,9.196937342568182,8
HSPA5,SR,9,9.20202009607143,0.24480026340723032,21,0.05341979700994101,top,9.148600299061489,9.20202009607143,9
HSPA5,SR,12,9.146822264789474,0.29004060634314016,19,0.06653987855647421,top,9.080282386233,9.146822264789474,10
HSPA5,SR,15,9.1611131108125,0.26922775498201473,8,0.09518638561570646,top,9.065926725196794,9.1611131108125,11
HSPD1,Control,-12,10.322987923772727,0.2906601642205319,22,0.061968955227856774,top,10.322987923772727,10.384956879000583,2
HSPD1,Control,-9,10.474175980863636,0.2704598793546021,22,0.05766224002385314,top,10.474175980863636,10.53183822088749,3
HSPD1,Control,-6,10.456205529225,0.2365027523494397,20,0.052883623111914524,top,10.456205529225,10.509089152336916,4
HSPD1,Control,-3,10.5056689738,0.2659019097947255,25,0.0531803819589451,top,10.5056689738,10.558849355758946,5
HSPD1,Control,0,10.34576505347826,0.2491352889464711,23,0.05194829879561344,top,10.34576505347826,10.397713352273874,6
HSPD1,Control,3,10.318314981045454,0.26416473922416195,22,0.05632011163848435,top,10.318314981045454,10.374635092683938,7
HSPD1,Control,6,10.130277486272727,0.2614144902129393,22,0.05573375657913537,top,10.130277486272727,10.186011242851862,8
HSPD1,Control,9,10.20230233325,0.2713010349479446,24,0.05537909185928758,top,10.20230233325,10.257681425109286,9
HSPD1,Control,12,10.174478571977273,0.2508154484568692,22,0.0534740332840582,top,10.174478571977273,10.227952605261331,10
HSPD1,Control,15,10.060453684710527,0.31779198278135606,19,0.07290648094796573,top,10.060453684710527,10.133360165658493,11
HSPD1,SR,-15,10.328425177633333,0.24583073136987282,15,0.06347322190543378,top,10.264951955727899,10.328425177633333,1
HSPD1,SR,-12,10.413984312568182,0.26815819774952815,22,0.05717151985682884,top,10.356812792711354,10.413984312568182,2
HSPD1,SR,-9,10.369725379909092,0.23741954677252458,22,0.0506180174487266,top,10.319107362460365,10.369725379909092,3
HSPD1,SR,-6,10.350217271804349,0.2894316871399292,23,0.06035067865353292,top,10.289866593150816,10.350217271804349,4
HSPD1,SR,-3,10.344415684476191,0.2533404548891399,21,0.055283419577334715,top,10.289132264898857,10.344415684476191,5
HSPD1,SR,0,10.340277823642857,0.2668815951972579,21,0.05823833864676178,top,10.282039484996096,10.340277823642857,6
HSPD1,SR,3,10.169667067717391,0.2760896080252514,23,0.057568662844632745,top,10.112098404872759,10.169667067717391,7
HSPD1,SR,6,10.09701952265909,0.28955765742041595,22,0.061733899988285115,top,10.035285622670806,10.09701952265909,8
HSPD1,SR,9,10.068106605642857,0.21477651826771715,21,0.04686807868861331,top,10.021238526954244,10.068106605642857,9
HSPD1,SR,12,10.092936854736843,0.27798072327630863,19,0.06377315163230389,top,10.029163703104539,10.092936854736843,10
HSPD1,SR,15,10.0542072864375,0.31519515874211906,8,0.11143831707186135,top,9.942768969365638,10.0542072864375,11
IL1B,Control,-12,12.664323499545455,0.47548377785609813,22,0.10137348205439206,bottom,12.562950017491064,12.664323499545455,2
IL1B,Control,-9,12.911157433181819,0.37882059291213344,22,0.08076482177912393,bottom,12.830392611402695,12.911157433181819,3
IL1B,Control,-6,12.716897126,0.45624355334988975,20,0.10201915995864053,bottom,12.614877966041359,12.716897126,4
IL1B,Control,-3,12.545124294799999,0.4292126605895992,25,0.08584253211791984,bottom,12.45928176268208,12.545124294799999,5
IL1B,Control,0,12.539426757826087,0.43317281775855987,23,0.09032277628037814,bottom,12.44910398154571,12.539426757826087,6
IL1B,Control,3,12.451598039545456,0.4344803178756971,22,0.09263151501351195,bottom,12.358966524531944,12.451598039545456,7
IL1B,Control,6,12.605099715,0.3448788277668369,22,0.07352841313577282,bottom,12.531571301864227,12.605099715,8
IL1B,Control,9,12.8433705375,0.3775171922397359,24,0.07706037417629487,bottom,12.766310163323705,12.8433705375,9
IL1B,Control,12,12.983610075909091,0.317748254579663,22,0.06774415549712902,bottom,12.915865920411962,12.983610075909091,10
IL1B,Control,15,12.938810928421052,0.4189137959693438,19,0.09610541593080978,bottom,12.842705512490243,12.938810928421052,11
IL1B,SR,-15,12.64281182,0.5182507923460499,15,0.13381177919433662,bottom,12.64281182,12.776623599194338,1
IL1B,SR,-12,12.827144919545455,0.461166915949402,22,0.09832111683992009,bottom,12.827144919545455,12.925466036385375,2
IL1B,SR,-9,12.894845981818182,0.5325736627414867,22,0.11354508640861623,bottom,12.894845981818182,13.008391068226798,3
IL1B,SR,-6,12.786105087391304,0.4678967736585012,23,0.09756322159859812,bottom,12.786105087391304,12.883668308989902,4
IL1B,SR,-3,12.649236712857142,0.4400877505862722,21,0.09603502045163995,bottom,12.649236712857142,12.745271733308781,5
IL1B,SR,0,12.545618261904762,0.5753602606540669,21,0.12555390220556115,bottom,12.545618261904762,12.671172164110324,6
IL1B,SR,3,12.669042371739131,0.3815264909753085,23,0.07955377271296828,bottom,12.669042371739131,12.7485961444521,7
IL1B,SR,6,12.616807490454546,0.41331694876385766,22,0.08811946955836958,bottom,12.616807490454546,12.704926960012916,8
IL1B,SR,9,12.89896970952381,0.47558300002904286,21,0.10378071889844163,bottom,12.89896970952381,13.002750428422251,9
IL1B,SR,12,13.073704078421052,0.48475256583364695,19,0.11120986563636391,bottom,13.073704078421052,13.184913944057415,10
IL1B,SR,15,13.18478698875,0.45709814509034635,8,0.16160859903058813,bottom,13.18478698875,13.346395587780588,11
NFKB2,Control,-12,7.823725922590909,0.3203460126075853,22,0.06829799936960058,bottom,7.755427923221308,7.823725922590909,2
NFKB2,Control,-9,7.801167827045455,0.2768173392010514,22,0.059017655017318156,bottom,7.742150172028136,7.801167827045455,3
NFKB2,Control,-6,7.758750497249999,0.2532775871731306,20,0.05663459020962488,bottom,7.702115907040374,7.758750497249999,4
NFKB2,Control,-3,7.736666126,0.2648249392666004,25,0.05296498785332008,bottom,7.68370113814668,7.736666126,5
NFKB2,Control,0,7.799036804913044,0.29300478771199495,23,0.06109572162568421,bottom,7.737941083287359,7.799036804913044,6
NFKB2,Control,3,7.7638439689545455,0.26598052425578295,22,0.05670723830797374,bottom,7.707136730646572,7.7638439689545455,7
NFKB2,Control,6,7.859642443681818,0.2535991459034266,22,0.05406751957378152,bottom,7.805574924108037,7.859642443681818,8
